root_id,primary_type,additional_type(s)
720575940612629978,R1-6,
720575940612630130,Tm9,
720575940612630386,Sm08,Dm21
720575940612630434,CB2413,
720575940612630550,Tm1,
720575940612630642,Tm20,
720575940612630677,Dm14,
720575940612630707,Dm3q,Dm3
720575940612630757,Tm7,CB3851
720575940612630963,T3,
720575940612631445,CB2532,
720575940612631761,ORN_VL1,
720575940612631970,ER3d,
720575940612632026,ocellar_retinula_cell,
720575940612632243,Dm3v,Dm3
720575940612633494,ORN_VM6m,ORN_VC5
720575940612633770,Mi2,
720575940612634009,ORN_VM6m,ORN_VC5
720575940612634341,T3,
720575940612635050,ALIN7,
720575940612635117,AVLP312a,AVLP312
720575940612635122,Tm20,
720575940612636021,Dm3v,Dm3
720575940612637077,T4a,
720575940612637354,Dm3p,Dm3
720575940612637554,lLN2X12,
720575940612637669,L2,
720575940612637809,L1,
720575940612637810,MeTu1,"MC61, MC64"
720575940612637845,TmY5a,
720575940612638437,T1,
720575940612638693,Pm05,Pm4
720575940612638866,CB2406,
720575940612638929,CB2317,
720575940612638998,Sm02,
720575940612639637,R1-6,
720575940612641137,R1-6,
720575940612641459,Dm2,
720575940612641649,L1,
720575940612643242,T3,
720575940612643954,PAM14,
720575940612644058,R7,
720575940612644522,Dm3q,Dm3
720575940612644837,T3,
720575940612645017,Dm3q,Dm3
720575940612645082,Li20,CB3839
720575940612645234,Tm9,
720575940612645269,Mi10,
720575940612645490,Tm5f,Tm5Y
720575940612645618,T1,
720575940612646549,R1-6,
720575940612646579,Dm3p,Dm3
720575940612646642,L1,L2
720575940612646826,Tm9,
720575940612646883,MeTu3a,"MeTu3, MC61, MC64"
720575940612647025,L1,
720575940612647141,C2,
720575940612647166,JO-B,
720575940612647282,KCg-m,
720575940612647386,R7,
720575940612647603,Dm8b,Dm8
720575940612648029,Mi14,
720575940612648106,DNg67,
720575940612648561,L5,
720575940612648817,L2,
720575940612648818,T4d,
720575940612649074,Li06,
720575940612649122,WED163c,WED163
720575940612649386,Tm2,
720575940612649625,Dm2,
720575940612650213,Mi4,
720575940612650792,KCapbp-ap2,KCab-ap2
720575940612651030,T4b,
720575940612651048,T4d,
720575940612651749,T5c,
720575940612652723,Mi4,
720575940612652975,SMP261,
720575940612653937,CB3457,
720575940612654334,CL208,
720575940612654449,R8,
720575940612654506,TmY10,CB3816
720575940612654573,AVLP055,
720575940612654632,Tm20,
720575940612654771,L1,
720575940612655027,T1,
720575940612655077,TmY5a,
720575940612655539,TmY3,
720575940612655733,Dm3v,Dm3
720575940612655845,L5,
720575940612656101,MLt5,
720575940612656602,T4c,
720575940612657010,T3,
720575940612657319,Sm06,
720575940612657522,Tm9,
720575940612658602,L5,
720575940612658858,L1,
720575940612658984,T5b,
720575940612659674,Mi2,
720575940612659826,Mi1,
720575940612660520,T5b,
720575940612661145,T5b,
720575940612661162,Sm09,
720575940612661418,T5b,
720575940612661683,L1,
720575940612661782,KCg-m,
720575940612661873,TmY9q__perp,TmY9
720575940612662385,Tm3,
720575940612662499,SAD005,SAD006
720575940612662698,Tm5f,Tm5Y
720575940612662770,Mi2,
720575940612663705,Dm10,
720575940612663722,Tm20,
720575940612664273,CB3017,
720575940612664482,KCab,KCab-m
720575940612664818,T5d,
720575940612664981,T2a,
720575940612665237,Tm33,
720575940612665494,CB1789,
720575940612665562,LCe02,
720575940612666646,TmY9q__perp,TmY9
720575940612667042,Tm4,
720575940612667414,CL111,
720575940612668018,KCab,KCab-s
720575940612668529,R1-6,
720575940612668586,Dm8a,Dm8
720575940612668658,Mi2,
720575940612668821,Pm03,Pm2
720575940612668834,KCapbp-m,KCab-m
720575940612669682,T5d,
720575940612669849,T4b,
720575940612669933,AN_AVLP_41,
720575940612669992,TmY31,TmYem1
720575940612670354,CB3195,
720575940612670361,T4a,
720575940612670570,LB3,
720575940612671146,Tm37,
720575940612671194,Dm3q,Dm3
720575940612671450,Tm4,
720575940612671461,Tm20,
720575940612672881,LCe01a,LC24
720575940612672986,T1,
720575940612673174,AVLP186,
720575940612673242,Sm03,
720575940612673266,Mi9,
720575940612673393,T5b,
720575940612673498,Tm20,
720575940612674257,ORN_DL5,
720575940612674277,T5a,
720575940612675045,Tlp4,
720575940612675225,Mi9,
720575940612675507,T4d,
720575940612677142,CREa1A_T01,"ATL005, ATL007"
720575940612677613,CB3043,
720575940612677811,T4d,
720575940612678001,Mi2,
720575940612678130,T4c,
720575940612678373,L5,
720575940612678637,M_lvPNm45,
720575940612679026,CB2315,
720575940612679130,R1-6,
720575940612679594,JO-E,
720575940612679603,T4d,
720575940612679898,T3,
720575940612679922,LPi09,CB3857
720575940612680050,SLP024c,SLP024
720575940612680165,Dm10,
720575940612680371,Tm3,
720575940612680817,L1,
720575940612680818,KCg-m,
720575940612680883,T1,
720575940612681512,L4,
720575940612681898,T4a,
720575940612682467,DNp51,PS296
720575940612682714,TmY20,
720575940612682902,Dm2,
720575940612683482,Y12,
720575940612683729,CB1972,
720575940612683816,C3,
720575940612684054,Lawf2,
720575940612684402,JO-mz,
720575940612684506,Sm05,
720575940612684773,T5c,
720575940612684822,Tm5f,Tm5Y
720575940612685162,AN_AVLP_34,
720575940612685205,R1-6,
720575940612685777,SMP355,
720575940612685810,Tm5a,
720575940612685864,T4a,
720575940612685977,Mi4,
720575940612686053,Mi4,
720575940612686229,R1-6,
720575940612686233,CB3562,
720575940612686358,KCg-m,
720575940612686563,Mi4,
720575940612686834,T5c,
720575940612687144,Tm21,Tm6
720575940612687346,Mi13,
720575940612687382,T5c,
720575940612687597,BM_InOm,
720575940612688242,CB1841,
720575940612688789,R1-6,
720575940612689266,LTe70,SLP233
720575940612689645,CB.FB1E0,
720575940612689777,R1-6,
720575940612689882,R1-6,
720575940612689893,Dm10,
720575940612690338,KCg-m,
720575940612690394,T1,
720575940612691093,C2,
720575940612692633,CB0799,
720575940612692672,KCg-m,
720575940612692698,C2,
720575940612692889,DNg63,
720575940612692915,ORN_VA1d,
720575940612692963,vDeltaF,"vDeltaG, vDeltaH, vDeltaI"
720575940612692965,Tm7,CB3851
720575940612693397,R1-6,
720575940612693544,C2,
720575940612693733,T2a,
720575940612694165,R7,
720575940612694568,CB.FB2E2,
720575940612694755,T4c,
720575940612695153,Dm3p,Dm3
720575940612695525,Mi9,
720575940612695592,T4b,
720575940612695830,T5d,
720575940612696177,R1-6,
720575940612696282,R8,
720575940612696728,T4b,
720575940612696805,Li05,CB3848
720575940612696854,T4d,
720575940612697714,LC10d,LC10
720575940612698287,DNg110_b,
720575940612698610,Sm07,Dm21
720575940612698842,T4c,
720575940612698853,Tm1,
720575940612699098,Tm27,TmY18
720575940612699354,LC28a,LC28b
720575940612699505,Sm09,
720575940612699670,LC28a,LC28b
720575940612699761,DM6_adPN,
720575940612700017,Li19,Li11
720575940612700450,ORN_V,
720575940612700586,Mi9,
720575940612700847,SMP448,
720575940612701354,Tm4,
720575940612701669,Dm2,
720575940612701974,T2,
720575940612702105,T4b,
720575940612702426,R1-6,
720575940612702515,T4d,
720575940612702577,R8,
720575940612702833,R1-6,
720575940612703381,Lawf2,
720575940612703973,TmY5a,
720575940612704209,CB3524,
720575940612704802,ORN_V,
720575940612705253,Mi9,
720575940612706706,KCab,KCab-m
720575940612706778,R1-6,
720575940612707490,SIP078,SIP080
720575940612707811,SMP087,
720575940612707989,Dm8a,Dm8
720575940612708010,L2,
720575940612708323,CB2626,
720575940612708374,CB3660,
720575940612708519,L1-3,
720575940612708775,L4,
720575940612709234,PVLP036,
720575940612709489,R1-6,
720575940612710184,PFNm,PFNp
720575940612710371,SMP315,
720575940612710883,CB0563,
720575940612711082,Tm2,
720575940612711594,TmY31,TmYem1
720575940612711603,Dm2,
720575940612711958,CRE082,pMP6
720575940612712354,SMP314b,SMP314
720575940612712401,PFNm,PFNp
720575940612713322,AN_GNG_188,
720575940612713937,LHPV5b2,
720575940612713946,T4c,
720575940612714671,KCg-m,
720575940612714723,M_l2PNl22,
720575940612714901,T5b,
720575940612715175,L3,
720575940612716458,Tm3,
720575940612716497,LTe64,PS105
720575940612716771,Tm27,TmY18
720575940612717202,KCg-m,
720575940612717461,L3,
720575940612717530,Sm08,Dm21
720575940612717795,IB023,
720575940612718322,T4b,
720575940612718563,AN_multi_28,PS299
720575940612718821,TmY5a,
720575940612719090,T4d,
720575940612719274,Tlp4,
720575940612719322,R1-6,
720575940612720691,T4d,
720575940612720867,CB3034,
720575940612721063,CB3595,
720575940612721587,TmY3,
720575940612721770,PVLP006,
720575940612722661,Tm3,
720575940612723314,Tm4,
720575940612723379,Dm3q,Dm3
720575940612723409,KCapbp-ap1,KCab-ap1
720575940612723626,Tm1,
720575940612724195,PS220,
720575940612724442,R1-6,
720575940612724650,Tm34,
720575940612725141,R1-6,
720575940612725234,Sm27,
720575940612725418,T2,
720575940612725466,CL153,
720575940612725906,KCab,KCab-m
720575940612726770,T5d,
720575940612726835,CB3666,
720575940612727153,R1-6,
720575940612727154,TmY5a,
720575940612727550,Mi1,
720575940612727665,PLP223,
720575940612727722,Tm2,
720575940612727761,Li01,
720575940612727770,T2a,
720575940612728342,C3,
720575940612728466,KCab,KCab-s
720575940612728557,TmY11,
720575940612728794,R1-6,
720575940612728981,R1-6,
720575940612729714,KCg-m,
720575940612730225,R1-6,
720575940612730538,LPC2,
720575940612730794,LPC2,
720575940612730920,Mi9,
720575940612730997,Pm11,CB3850
720575940612731249,R1-6,
720575940612731315,Tm5c,
720575940612731541,L5,T1
720575940612731670,Tm1,
720575940612731761,R1-6,
720575940612732050,CB1046,
720575940612732146,LPLC1,
720575940612732273,v2LN33,
720575940612732339,T4a,
720575940612733235,CB2075,
720575940612733298,Tm5b,CB3852
720575940612733346,Sm15,
720575940612733553,R1-6,
720575940612733667,L1,
720575940612733809,OCC02b,OCG08
720575940612734066,CB.FBTF0,FB1H
720575940612734122,TmY10,CB3816
720575940612734131,T4a,
720575940612734358,Tm21,Tm6
720575940612734515,DN1pE,"SMP532a, SMP532"
720575940612734643,L4,R1-6
720575940612735194,R1-6,
720575940612735205,LPC2,
720575940612737174,LC31a,LC31
720575940612737233,KCapbp-ap2,KCab-ap2
720575940612737685,T5b,
720575940612738001,CB3230,
720575940612738010,Tm2,
720575940612738197,CB2291,
720575940612739186,KCg-d,
720575940612739733,R7,
720575940612739989,C3,
720575940612740069,Mi9,
720575940612740374,C3,
720575940612740466,KCg-m,
720575940612740501,T4b,
720575940612740722,Mi4,
720575940612740835,CB1786,
720575940612740850,L3,
720575940612740886,KCapbp-ap2,KCab-ap2
720575940612740904,Dm3q,Dm3
720575940612741338,L4,
720575940612741594,Dm10,
720575940612741654,Tm4,
720575940612741781,Dm9,
720575940612741799,T4a,
720575940612742297,ORN_VA1d,
720575940612742314,Tm3,
720575940612742642,L2,
720575940612743330,LLPC1,
720575940612743410,Tm20,
720575940612743922,L2,
720575940612743958,KCapbp-ap1,KCab-ap1
720575940612744085,L2,
720575940612744362,Tm5f,Tm5Y
720575940612744410,Mi2,
720575940612744618,L5,
720575940612745443,SLP008,
720575940612746226,Y3,
720575940612747158,KCapbp-m,KCab-m
720575940612747434,ORN_VA1v,
720575940612747889,R1-6,
720575940612747890,T5c,
720575940612748003,LPi05,
720575940612748146,T4c,
720575940612748913,Y12,
720575940612751066,T5b,
720575940612751513,T5b,
720575940612751985,R8,
720575940612752021,MeTu3a,"MeTu3, MC61, MC64"
720575940612752101,L5,
720575940612752303,CB2433,
720575940612752497,LPi04,
720575940612752611,LT82a,LT82b
720575940612753557,L1,
720575940612753561,Tm27,TmY18
720575940612753882,R1-6,
720575940612754582,KCg-m,
720575940612754650,R1-6,
720575940612755314,T4c,
720575940612755605,Dm10,
720575940612755618,PAM07,
720575940612755665,ORN_DM5,
720575940612756399,BM_InOm,
720575940612756630,AOTU007,
720575940612756722,Mi15,
720575940612756882,Sm23,CB3825
720575940612757210,SLP184,
720575940612757490,T4d,
720575940612757722,R8,
720575940612757922,LC22,
720575940612758243,T5d,
720575940612758934,KCapbp-m,KCab-m
720575940612759770,R1-6,
720575940612760306,Tm33,LCe01b
720575940612760994,CB.FB7E2,"FB7A, FB7K"
720575940612761458,T4c,
720575940612761523,T5a,
720575940612761598,Tm20,
720575940612761713,R1-6,
720575940612761750,SMP123a,SMP123
720575940612761842,Mi9,
720575940612761896,Dm3p,Dm3
720575940612762074,T1,
720575940612762481,R1-6,
720575940612763158,PEN_b(PEN2),
720575940612763242,JO-FVA,
720575940612763250,CL160a,CL160
720575940612763285,R1-6,
720575940612763306,Tm3,
720575940612763541,R1-6,
720575940612763542,KCapbp-ap1,KCab-ap1
720575940612764438,Mi2,
720575940612765330,PFNm,PFNp
720575940612765462,L1,
720575940612765846,KCab,KCab-m
720575940612766102,KCapbp-m,KCab-m
720575940612766170,T2,
720575940612766378,Tm1,
720575940612766515,PS279,
720575940612766691,LPLC2,
720575940612766873,Tm4,
720575940612767126,KCab-p,
720575940612767381,Dm12,
720575940612767474,Tm21,Tm6
720575940612767893,TmY15,
720575940612768106,CB1944,aDT9
720575940612768149,TmY3,
720575940612768369,R8,
720575940612768405,T5b,
720575940612768665,Tm2,
720575940612769433,Tm7,CB3851
720575940612769906,Tm20,
720575940612770197,Mi13,
720575940612770227,MLt4,
720575940612770418,KCg-m,
720575940612771697,L3,
720575940612772077,CB.FB5D7,"FB5D, FB5E"
720575940612772209,Tm21,Tm6
720575940612772915,CB2962,
720575940612773338,T4b,
720575940612773374,JO-EVP,
720575940612773594,Tm2,
720575940612774371,Mi13,
720575940612774373,TmY9q,TmY9
720575940612774883,CB1339,
720575940612774952,Sm09,Dm21
720575940612775061,L1,
720575940612775065,Tm4,
720575940612775130,AN_AVLP_GNG_17,
720575940612775530,LC17,
720575940612775720,TmY4,
720575940612775829,MLt1,CB3833
720575940612775859,ocellar_retinula_cell,
720575940612775934,PLP103b,PLP103
720575940612775958,T5c,
720575940612776817,C2,
720575940612776853,C3,
720575940612776879,s-CPDN3C,CB3626
720575940612777434,L1,
720575940612778137,Tm27,TmY18
720575940612778213,T3,
720575940612778393,TmY10,CB3816
720575940612778458,TmY16,
720575940612778609,R1-6,
720575940612778646,KCab,KCab-s
720575940612778649,MeTu4d,"MeTu4, MC61, MC64"
720575940612779237,LC18,
720575940612779417,T4c,
720575940612779493,Tm1,
720575940612779633,R1-6,
720575940612779690,Mi1,
720575940612780441,TmY11,
720575940612780530,T4b,
720575940612780657,Pm03,Pm2
720575940612780723,MTe09,
720575940612780822,Mi15,
720575940612781226,Tm4,
720575940612781549,Tm2,
720575940612782705,L1-3,
720575940612782899,Tm9,
720575940612783023,CB1712,
720575940612783218,CB1984,
720575940612783638,Tm5a,
720575940612784754,Tm5b,CB3852
720575940612784894,CB2987,LHPV5a3
720575940612785174,LHAD3d4,
720575940612785381,T4c,
720575940612786069,Tm16,
720575940612786581,T5a,
720575940612786995,AN_IPS_GNG_1,
720575940612787370,L3,
720575940612787825,T4b,
720575940612787861,TmY31,TmYem1
720575940612787930,Dm4,
720575940612788008,AVLP560,
720575940612788117,Tm4,
720575940612788337,R8,
720575940612788655,CB2779,
720575940612789219,KCg-m,
720575940612789361,Dm10,
720575940612789401,ocellar_retinula_cell,
720575940612790038,Tm27,TmY18
720575940612790442,T5b,
720575940612790933,Dm10,
720575940612791277,LC10c,LC10
720575940612791318,T5d,
720575940612791445,C2,L5
720575940612792689,T3,
720575940612792830,SMP469a,SMP469
720575940612793457,Pm08,Pm2
720575940612793622,Tm21,Tm6
720575940612793907,Dm3q,Dm3
720575940612794005,R1-6,
720575940612794134,CB2436,
720575940612794902,CB0311,
720575940612796053,Tm21,Tm6
720575940612796083,Li10,CB3819
720575940612796330,T4d,
720575940612796438,LHPV10a1a,LHPV10a1
720575940612796786,KCapbp-ap1,KCab-ap1
720575940612796821,Y3,
720575940612797146,R1-6,
720575940612797480,KCapbp-m,KCab-m
720575940612797810,Mi9,
720575940612798122,T4c,
720575940612798899,Mi9,
720575940612798998,CB1118,
720575940612799637,R1-6,
720575940612800153,ORN_VL2p,
720575940612801022,cM19,PVLP046
720575940612801331,Dm2,
720575940612801498,R1-6,
720575940612802019,WED034,WED035
720575940612802479,PAM04,
720575940612803094,LHAD2e3,
720575940612803606,CB3730,
720575940612803737,TmY4,
720575940612804209,LAL085,
720575940612804325,T5c,
720575940612804514,LAL094,
720575940612804606,DNg02_a,
720575940612804757,Tm4,
720575940612804862,DNg01_a,
720575940612805118,DNg10,
720575940612806809,Y11,CB3846
720575940612807091,T1,
720575940612807317,Sm05,
720575940612807829,L2,
720575940612807830,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940612807958,T4c,
720575940612808086,CB2422,pMP3-pCd1
720575940612808597,LMt3,CB3821
720575940612808657,Tm9,
720575940612810226,Mi2,
720575940612810865,R1-6,
720575940612810905,Tm20,
720575940612811121,TmY3,
720575940612811122,Tm1,
720575940612811669,Mi2,
720575940612811925,Dm12,
720575940612812434,AVLP558,
720575940612812914,KCg-m,
720575940612812950,CB2075,
720575940612813461,R1-6,
720575940612813539,TmY31,TmYem1
720575940612814229,R1-6,
720575940612814498,PLP115_b,
720575940612814578,Tm5e,CB3864
720575940612814771,Dm3v,Dm3
720575940612814821,T5d,
720575940612815346,Mi4,
720575940612815513,TmY20,
720575940612815597,MTe01b,MC66
720575940612815766,CB1214,
720575940612816022,CB2182,
720575940612816090,R1-6,
720575940612816346,R1-6,
720575940612816533,L5,
720575940612817075,Tm4,
720575940612817459,Sm12,
720575940612817583,KCg-m,
720575940612818069,C2,
720575940612818581,LC20a,LC20
720575940612818611,L5,
720575940612819367,LTe65,PS273
720575940612819370,L1,
720575940612819865,Mi15,
720575940612819891,Tm4,
720575940612820264,CB2868,
720575940612820850,T2a,
720575940612821014,T4a,
720575940612821653,Pm08,Pm2
720575940612821727,M_lvPNm40,
720575940612821930,Tm21,Tm6
720575940612821997,CB.FB2E3,
720575940612822056,MTe05,
720575940612822421,L2,
720575940612822422,Mi1,
720575940612822757,Tm3,
720575940612824239,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940612824978,FC1D,FC1E
720575940612825241,Tm20,
720575940612825562,T1,
720575940612825770,T4c,
720575940612826085,L4,
720575940612826777,R1-6,
720575940612826842,T2a,
720575940612827634,Sm09,Dm21
720575940612828309,R1-6,
720575940612828821,L5,
720575940612828926,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940612829619,Pm03,Pm2
720575940612829658,Tm5c,
720575940612829663,CB3383,"M_lvPNm38, VC5_lvPN"
720575940612829863,KCg-m,
720575940612829875,Pm01,Pm1
720575940612830179,Pm02,Pm1
720575940612830577,R8,
720575940612831486,PFNm,PFNp
720575940612831539,Mi9,
720575940612831857,R1-6,
720575940612831981,T1,
720575940612832022,Tm2,
720575940612832435,Tm20,
720575940612832749,Tm20,
720575940612833137,R1-6,
720575940612833715,R8,
720575940612833843,Tm5a,
720575940612834600,TmY31,TmYem1
720575940612834611,T2,
720575940612835242,C2,
720575940612835290,Tm3,
720575940612835299,Sm02,Dm8
720575940612835733,Lai,Am
720575940612835802,Sm02,
720575940612836245,C2,L5
720575940612836374,AN_GNG_175,
720575940612837273,Mi2,
720575940612837338,Tm8a,Tm8
720575940612837490,Mi2,
720575940612839661,MTe01a,
720575940612839793,R1-6,
720575940612839850,Dm3q,Dm3
720575940612839859,R7,
720575940612839889,C2,
720575940612840562,Tm21,Tm6
720575940612840615,LC17,
720575940612840677,T2a,
720575940612840982,VESa1_P02,hb-1663021115
720575940612841329,R1-6,
720575940612841330,JO-E,
720575940612841585,R1-6,
720575940612841874,LC10d,LC10
720575940612841890,Tm3,
720575940612841907,LC10e,LC10
720575940612842389,Mi15,
720575940612842415,Tm32,
720575940612843250,Tm2,
720575940612843417,Dm8a,Dm8
720575940612843542,CL182,
720575940612843634,L3,
720575940612843762,CB1012,
720575940612844202,ORN_VA1v,
720575940612844401,L3,
720575940612844693,Mi14,
720575940612844806,L5,
720575940612845170,T4d,
720575940612845590,T5b,
720575940612845721,T4a,
720575940612845973,LC10a,LC10
720575940612846102,T5b,
720575940612846489,L5,
720575940612846578,Sm18,
720575940612846643,Tm20,
720575940612846962,KCapbp-ap2,KCab-ap2
720575940612847018,T4d,
720575940612847077,T2,
720575940612847218,Sm02,
720575940612847253,LMa3,CB3824
720575940612847923,C3,
720575940612848021,C2,
720575940612848793,T5a,
720575940612848849,T2,
720575940612848858,R8,
720575940612848869,T4d,
720575940612849045,T1,
720575940612849105,T5b,
720575940612849521,R1-6,
720575940612849637,Mi10,
720575940612849650,T5d,
720575940612850538,CB2148,
720575940612850545,R1-6,
720575940612850837,CB2155,
720575940612851313,L1-3,
720575940612851367,hDeltaC,
720575940612851375,Dm15,C3
720575940612852655,Tm27,TmY18
720575940612852898,FC3,
720575940612852911,T5c,
720575940612852978,R1-6,
720575940612853234,R7,
720575940612853354,KCapbp-ap2,KCab-ap2
720575940612853913,T4a,
720575940612854130,LMa4,
720575940612854378,LC31a,LC31
720575940612854421,T2a,
720575940612854634,SLP433,
720575940612854806,T1,
720575940612855219,Mi1,
720575940612855475,R1-6,
720575940612855505,FS4A,"FS4B, FS4C"
720575940612856217,Tm5c,
720575940612856273,VP5+_l2PN,VP5+VP2_l2PN
720575940612856342,VP2+_adPN,
720575940612856434,CL361,
720575940612856529,Dm3v,Dm3
720575940612856854,AC_neuron,aDT4
720575940612857128,LC18,
720575940612857651,T2a,
720575940612857770,TmY16,
720575940612857878,PAM08,
720575940612858341,ocellar_retinula_cell,
720575940612858520,T4a,
720575940612858586,LPLC1,
720575940612858646,Mi4,
720575940612859122,LPi04,
720575940612859378,Mi4,
720575940612860273,MeMe_e08,
720575940612860389,T4d,
720575940612860694,T2,
720575940612861077,AN_IPS_GNG_7,
720575940612861146,MTe01b,MC66
720575940612861182,Mi1,
720575940612861235,Dm2,
720575940612861426,R1-6,
720575940612861462,Tm9,
720575940612861649,T5b,
720575940612861677,T4c,
720575940612861842,PFNa,
720575940612862131,Pm01,Pm1
720575940612862170,R1-6,
720575940612862230,Mi4,
720575940612862387,Mi13,
720575940612862693,C3,
720575940612862882,PFNm,PFNp
720575940612863138,PLP016,
720575940612863283,T5c,
720575940612863407,Dm3q,Dm3
720575940612863450,R1-6,
720575940612863858,C2,
720575940612865194,Tm20,
720575940612866410,CB0695,
720575940612866735,Tm5f,Tm5Y
720575940612866802,Sm06,
720575940612867045,L1,
720575940612867251,R7,
720575940612867557,TmY20,
720575940612867733,Tm32,
720575940612867759,T4b,
720575940612868019,T4d,
720575940612868067,Mi1,
720575940612868069,T3,
720575940612868757,CB0423,
720575940612868837,T2a,
720575940612869093,L3,
720575940612869269,ExR1,
720575940612869416,ATL044,
720575940612869555,cLP02,
720575940612869746,SLP364,
720575940612870381,KCg-m,
720575940612870549,CRE060,CRE067
720575940612870952,PFL3,
720575940612871338,L3,
720575940612871386,R1-6,
720575940612872173,KCapbp-ap1,KCab-ap1
720575940612872857,Mi2,
720575940612874536,LPLC2,
720575940612874714,Mi13,
720575940612874803,T4c,
720575940612874898,LCe06,
720575940612875121,L3,
720575940612875560,CB3230,
720575940612875738,R1-6,
720575940612876146,LC17,
720575940612876506,TmY11,
720575940612876566,T2,
720575940612876962,FS3,
720575940612877363,Tm25,Tm12
720575940612877937,L1,
720575940612878193,T2,
720575940612878242,PVLP036,
720575940612878250,T1,
720575940612878554,Lawf2,
720575940612879010,CB1038,
720575940612879341,KCg-m,
720575940612879783,CB2551,
720575940612879795,T4d,
720575940612879853,KCapbp-ap2,KCab-ap2
720575940612879985,Lai,Am
720575940612880497,Lai,Am
720575940612880819,TmY3,
720575940612880849,CB3054,
720575940612881105,ORN_VM5d,
720575940612881114,PLP041,PLP043
720575940612881123,Pm02,Pm1
720575940612881381,Tm9,
720575940612881578,TmY5a,
720575940612882355,CB1812,
720575940612882611,TmY4,
720575940612882669,T5b,
720575940612882867,Dm15,
720575940612882906,T5b,
720575940612883710,L5,
720575940612885674,C3,
720575940612885683,Mi14,
720575940612885935,T5b,
720575940612886677,R8,
720575940612886695,BM_vOcci_vPoOr,
720575940612886898,T3,
720575940612887080,AN_VES_GNG_1,
720575940612887154,CB2048,
720575940612887523,cLP03,
720575940612888026,R1-6,
720575940612888178,CB0911,
720575940612888231,CB0094,pMP5-pCd2
720575940612888306,Dm3v,Dm3
720575940612889490,TmY5a,
720575940612889713,CL073,
720575940612889714,Mi15,
720575940612890002,CB0943,
720575940612891249,R1-6,
720575940612891373,SMP092,
720575940612891505,LPi04,
720575940612891634,Sm02,
720575940612891670,TmY5a,
720575940612892306,CB.FB9D0,FB9B
720575940612892322,CB2533,
720575940612892529,L4,
720575940612892670,PFNd,
720575940612892786,Dm3p,Dm3
720575940612892890,R1-6,Lawf1
720575940612893042,Mi2,
720575940612893090,Li07,
720575940612893359,TmY5a,
720575940612894578,LHPV6m1,
720575940612894613,Mi9,
720575940612894617,Mi9,
720575940612894631,CB3497,
720575940612894771,T4b,
720575940612894938,Pm05,Pm4
720575940612895135,CB2081,
720575940612895459,TmY31,TmYem1
720575940612895650,hDeltaI,
720575940612895697,LPC1,
720575940612895962,R1-6,
720575940612896106,KCab,KCab-m
720575940612896113,LT57,
720575940612896485,LC24,
720575940612896661,Dm10,
720575940612896682,Tm9,
720575940612898161,ALIN1,
720575940612898417,L3,
720575940612898479,TmY5a,
720575940612898797,CB2057,
720575940612899763,R1-6,
720575940612899990,PS023b,"PS024b, PS023, PS024"
720575940612900466,T4a,
720575940612901529,T4c,
720575940612901613,Tlp5,CB3846
720575940612901807,ORN_V,
720575940612902001,PLP119,
720575940612902362,R1-6,
720575940612902874,Pm02,Pm1
720575940612903025,MTe52,MC62
720575940612903281,C2,
720575940612903603,R1-6,
720575940612903793,Dm6,
720575940612903833,Dm3v,Dm3
720575940612903898,Mi10,
720575940612904421,Mi13,
720575940612904618,LPi07,CB3845
720575940612905842,T5a,
720575940612906097,TmY10,CB3816
720575940612906098,TmY5a,
720575940612906226,R1-6,
720575940612906518,CB0480,
720575940612906904,T5b,
720575940612907121,lLN2X12,
720575940612907154,SIP055,SLP245
720575940612907482,Lai,L1-3
720575940612907634,T2,
720575940612907672,T5d,
720575940612908054,Tm9,
720575940612908401,Li10,CB3819
720575940612908762,R1-6,
720575940612908953,L4,
720575940612909029,Tm3,
720575940612909037,Dm3p,Dm3
720575940612909226,L2,
720575940612909265,T5d,
720575940612909482,Sm23,CB3855
720575940612909554,R1-6,
720575940612909999,T4d,
720575940612910376,CB0510,
720575940612910486,KCab,KCab-m
720575940612910503,CB1822,
720575940612910578,R1-6,
720575940612910997,R1-6,
720575940612911283,Tm9,
720575940612911638,L1,
720575940612911765,L1,
720575940612911858,T1,
720575940612912051,T3,
720575940612912114,R8,
720575940612912150,L2,
720575940612914546,CB2091,
720575940612914897,Dm3p,Dm3
720575940612915353,L4,
720575940612915418,R1-6,
720575940612915478,T2a,
720575940612915862,CB1337,
720575940612916114,ER3d,
720575940612916121,Mi14,
720575940612916338,T5c,
720575940612916370,ER3m,
720575940612916594,Sm09,
720575940612917105,CB1831,
720575940612917141,Lai,Am
720575940612917145,Mi14,
720575940612917362,Mi9,
720575940612917922,Tm3,
720575940612918195,L2,
720575940612918294,Dm2,
720575940612918550,Dm15,
720575940612918898,CB1500,
720575940612918930,KCg-m,
720575940612919410,LHAV2b10,
720575940612919806,MeTu1,"MC61, MC64"
720575940612920214,FS1A,FS1B
720575940612920386,LB2,
720575940612920433,R8,
720575940612920434,CB1184,
720575940612920466,PEN_b(PEN2),
720575940612920999,PAM11,
